"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2021",4291.644,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2021",3952.884,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Status unknown","Currency: U.S. dollars","2021",2923.285,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2021",3428.989,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2021",3030.677,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Status unknown","Currency: U.S. dollars","2021",2734.91,,"Job coverage: Main job currently held | Currency: BEL - Euro (EUR)",
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2020",2170.173,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2020",2170.173,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Status unknown","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
