"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2022",547.568,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2022",564.155,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2022",529.124,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2021",552.463,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2021",564.268,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2021",538.64,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2020",493.898,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2020",509.13,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2020",475.647,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2019",476.828,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2019",500.133,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2019",449.801,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2018",468.464,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2018",492.466,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2018",439.766,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2017",411.14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2017",431.503,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2017",386.378,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2016",382.806,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2016",403.438,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
