"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Total","Currency: U.S. dollars","2023",4855.333,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Basic","Currency: U.S. dollars","2023",2794.868,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2023",4394.377,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2023",5926.778,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Total","Currency: U.S. dollars","2023",5679.531,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Basic","Currency: U.S. dollars","2023",3170.594,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2023",5062.189,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2023",7072.754,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Total","Currency: U.S. dollars","2023",3897.763,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Basic","Currency: U.S. dollars","2023",2440.762,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2023",3529.188,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2023",4690.71,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Total","Currency: U.S. dollars","2022",4482.209,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Basic","Currency: U.S. dollars","2022",2525.064,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2022",3990.567,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2022",5689.848,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2022",3511.196,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Total","Currency: U.S. dollars","2022",5256.654,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Basic","Currency: U.S. dollars","2022",3146.964,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2022",4594.622,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2022",6790.923,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2022",4270.75,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Total","Currency: U.S. dollars","2022",3586.268,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Basic","Currency: U.S. dollars","2022",2016.826,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2022",3224.22,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2022",4507.696,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2022",2508.57,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Total","Currency: U.S. dollars","2021",5057.224,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Basic","Currency: U.S. dollars","2021",3132.71,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2021",4514.407,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2021",6238.606,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2021",3934.914,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Total","Currency: U.S. dollars","2021",5830.751,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Basic","Currency: U.S. dollars","2021",3728.022,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2021",5178.713,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2021",7277.076,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2021",4610.929,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Total","Currency: U.S. dollars","2021",4145.392,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Basic","Currency: U.S. dollars","2021",2471.162,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2021",3672.724,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2021",5116.197,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Female","Education (Aggregate levels): Level not stated","Currency: U.S. dollars","2021",3024.253,"Unreliable",,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Total","Currency: U.S. dollars","2020",4753.406,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Basic","Currency: U.S. dollars","2020",2599.078,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Intermediate","Currency: U.S. dollars","2020",4155.551,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Total","Education (Aggregate levels): Advanced","Currency: U.S. dollars","2020",6033.119,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Total","Currency: U.S. dollars","2020",5502.9,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and education","Sex: Male","Education (Aggregate levels): Basic","Currency: U.S. dollars","2020",2860.614,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
