Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Albania,ALB,"Population, total",SP.POP.TOTL,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Algeria,DZA,"Population, total",SP.POP.TOTL,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219
American Samoa,ASM,"Population, total",SP.POP.TOTL,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521
Andorra,AND,"Population, total",SP.POP.TOTL,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856
Angola,AGO,"Population, total",SP.POP.TOTL,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316
Argentina,ARG,"Population, total",SP.POP.TOTL,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
Armenia,ARM,"Population, total",SP.POP.TOTL,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900
Aruba,ABW,"Population, total",SP.POP.TOTL,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359
Australia,AUS,"Population, total",SP.POP.TOTL,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948
Austria,AUT,"Population, total",SP.POP.TOTL,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440
Bahrain,BHR,"Population, total",SP.POP.TOTL,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059
Bangladesh,BGD,"Population, total",SP.POP.TOTL,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990
Barbados,BRB,"Population, total",SP.POP.TOTL,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336
Belarus,BLR,"Population, total",SP.POP.TOTL,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298
